sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;17/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-17;08:41:51;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-17;08:41:51;02;n.a.;
.text;2024-02-17;08:41:51;03;n.a.;
.text;2024-02-17;08:41:51;04;n.a.;
.text;2024-02-17;08:41:51;05;n.a.;
.text;2024-02-17;08:41:51;06;n.a.;
.text;2024-02-17;08:41:51;07;n.a.;
.text;2024-02-17;08:41:51;08;n.a.;
.text;2024-02-17;08:41:51;09;n.a.;
.text;2024-02-17;08:41:51;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-17;08:50:35;19.3;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:40;19.4;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:45;19.5;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:50;19.5;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:55;19.5;12.78;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:00;19.7;12.76;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:05;19.9;12.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:10;20.1;12.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:15;20.3;12.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:20;20.4;12.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:25;20.5;12.68;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:30;20.5;12.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:35;20.6;12.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:40;20.6;12.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:45;20.6;12.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:50;20.6;12.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:51:55;20.6;12.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:00;20.6;12.52;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:05;20.7;12.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:10;20.7;12.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:15;20.7;12.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:20;20.7;12.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:25;20.7;12.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:30;20.8;12.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:35;20.9;12.42;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:40;20.9;12.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:45;20.9;12.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:50;20.9;12.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:52:55;20.9;12.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:00;20.8;12.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:05;20.9;12.38;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:10;21.0;12.34;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:15;21.1;12.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:20;21.3;12.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:25;21.5;12.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:30;21.6;12.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:35;21.7;12.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:40;21.8;12.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:45;22.0;12.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:50;22.2;12.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:53:55;22.2;12.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:00;22.3;12.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:05;22.4;12.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:10;22.4;12.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:15;22.5;12.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:20;22.6;12.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:25;22.6;12.16;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:30;22.7;12.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:35;22.7;12.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:40;22.7;12.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:45;22.7;12.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:50;22.8;12.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:54:55;22.9;12.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:00;23.1;12.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:05;23.2;12.08;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:10;23.3;12.08;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:15;23.5;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:20;23.6;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:25;23.7;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:30;23.9;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:35;24.1;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:40;24.2;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:45;24.3;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:50;24.3;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:55:55;24.4;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:00;24.6;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:05;24.7;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:10;24.8;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:15;25.0;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:20;25.1;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:25;25.3;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:30;25.5;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:35;25.7;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:40;25.8;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:45;26.0;11.84;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:50;26.2;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:56:55;26.4;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:00;26.7;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:05;26.9;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:10;27.1;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:15;27.1;11.80;;;;;;;;;;;;;;;;;;;
